Rank,Stocks (5218),Sub-Sector,?Market Cap,Alpha,Beta,5Y CAGR,Debt to Equity,EPS (Q),PE Ratio,PB Ratio,,,,,,,,,
219,ACC,Cement,"35,379.12",-10.34,0.91,5.77,0.02,58.14,15.14,2.17,,,,,,,,,
220,COCHINSHIP,Shipbuilding,"34,831.90",74.73,0.9,50.31,0.1,6.73,44.47,6.96,,,,,,,,,
221,CRISIL,Stock Exchanges & Ratings,"34,006.19",14.21,0.37,22.69,0.02,30.72,49.71,15.53,,,,,,,,,
222,LTF,Consumer Finance,"33,865.34",12.86,1.96,3.46,3.26,2.51,14.6,1.44,,,,,,,,,
223,ITCHOTELS,"Hotels, Resorts & Cruise Lines","33,862.73",-,-,-,0,0.01,"30,506.97",402.6,,,,,,,,,
224,AWL,FMCG - Foods,"33,837.13",-11.63,-,-,0.32,3.16,228.66,4.07,,,,,,,,,
225,NAM-INDIA,Asset Management,"33,730.40",12.3,0.92,3.8,0,4.66,30.46,8.47,,,,,,,,,
226,ESCORTS,Tractors,"33,730.35",12.67,0.62,28.41,0.01,29.16,32.15,3.68,,,,,,,,,
227,M&MFIN,Consumer Finance,"33,395.99",11.07,1.98,3.07,4.92,7.43,17.28,1.67,,,,,,,,,
228,MEDANTA,Hospitals & Diagnostic Centres,"33,185.31",47.22,-,-,0.09,5.32,91.95,11.65,,,,,,,,,
229,DALBHARAT,Cement,"32,669.16",-5.08,1.28,14.92,0.29,3.25,39.55,1.98,,,,,,,,,
230,AJANTPHARM,Pharmaceuticals,"32,558.34",29.87,0.3,22.02,0.01,18.6,39.89,9.13,,,,,,,,,
231,EMBASSY,Real Estate,"32,216.06",-14.94,0.38,-4.32,0.73,1.67,33.42,1.38,,,,,,,,,
232,AIAENG,Industrial Machinery,"31,673.87",21.92,0.68,12.42,0.07,27.78,27.89,4.75,,,,,,,,,
233,SONACOMS,Auto Parts,"31,549.08",-12.71,0.97,-,0.15,2.43,60.99,11.27,,,,,,,,,
234,SUVENPHAR,Pharmaceuticals,"31,221.12",27.37,1.65,-,0.03,3.26,103.98,15.22,,,,,,,,,
235,EXIDEIND,Batteries,"31,050.50",23.07,0.94,15.46,0.09,1.84,35.42,2.41,,,,,,,,,
236,NLCINDIA,Metals - Diversified,"31,030.15",37.13,1.19,33.34,1.16,5.02,16.74,1.6,,,,,,,,,
237,METROBRAND,Footwear,"30,987.76",21.36,-,-,0.58,3.48,75.12,16.37,,,,,,,,,
238,3MINDIA,Stationery,"30,803.32",7.35,0.57,4.75,0.01,139.5,52.8,14.35,,,,,,,,,
239,IKS,Health Care Equipment & Supplies,"30,727.47",-,-,-,1.13,7.8,82.94,26.54,,,,,,,,,
240,TATATECH,IT Services & Consulting,"30,122.92",-,-,-,0.08,4.16,44.34,9.35,,,,,,,,,
241,TATAINVEST,Asset Management,"30,059.42",52.77,0.81,45.14,0,3.88,78.09,1,,,,,,,,,
242,GODFRYPHLP,FMCG - Tobacco,"29,986.27",59.13,0.48,33.98,0.08,60.95,33.96,7.07,,,,,,,,,
243,LICHSGFIN,Home Financing,"29,926.18",5.73,1.22,8.33,8.02,26.09,6.29,0.95,,,,,,,,,
244,HONAUT,Electronic Equipments,"29,896.20",-9.19,0.91,-0.63,0.02,149.35,59.63,8.29,,,,,,,,,
245,PSB,Public Banks,"29,503.70",31.12,1.18,21.05,0,0.42,49.55,1.9,,,,,,,,,
246,IRB,Construction & Engineering,"28,661.09",14.41,1.55,36.79,1.36,9.98,47.31,2.09,,,,,,,,,
247,SYNGENE,Labs & Life Sciences Services,"28,646.94",4.53,1.02,18.38,0.13,3.27,56.17,6.73,,,,,,,,,
248,ABFRL,Retail - Apparel,"28,453.14",-10.74,0.92,-1.79,2,-0.48,-45.31,6.03,,,,,,,,,
249,MCX,Stock Exchanges & Ratings,"28,447.80",44.71,0.4,32.71,0,31.38,342.29,20.64,,,,,,,,,
250,NH,Hospitals & Diagnostic Centres,"28,368.98",24.19,0.79,32.08,0.56,9.5,35.94,9.83,,,,,,,,,
251,CHOLAHLDNG,Diversified Financials,"28,276.47",24.61,1.56,22.79,6.06,25.89,15.95,1.28,,,,,,,,,
252,IGL,Gas Distribution,"28,196.03",1.05,0.79,-2.82,0.01,2.33,14.2,2.92,,,,,,,,,
253,LAURUSLABS,Pharmaceuticals,"28,119.32",-6.37,1.5,42.72,0.63,1.71,175.14,6.83,,,,,,,,,
254,RADICO,Alcoholic Beverages,"28,084.55",22.47,0.85,37.51,0.34,7.14,107.12,11.51,,,,,,,,,
255,KAYNES,Electrical Components & Equipments,"27,957.98",80.42,-,-,0.13,10.39,152.53,11.24,,,,,,,,,
256,GUJGASLTD,Gas Distribution,"27,900.45",-16.45,0.95,7.11,0.02,3.21,24.39,3.61,,,,,,,,,
257,KPRMILL,Textiles,"27,714.28",9.26,1.21,45.54,0.27,5.92,34.41,6.36,,,,,,,,,
258,PPLPHARMA,Pharmaceuticals,"27,603.41",11.08,-,-,0.6,0.03,"1,549.01",3.49,,,,,,,,,
259,GODIGIT,Insurance,"27,602.78",-,-,-,0.13,1.29,151.93,10.24,,,,,,,,,
260,ITI,Telecom Equipments,"27,159.47",40.2,0.95,27.36,1.01,-0.51,-47.74,15.22,,,,,,,,,
261,GILLETTE,FMCG - Personal Products,"26,874.82",13.63,0.24,6.89,0,38.66,65.28,27.67,,,,,,,,,
262,ISEC,Investment Banking & Brokerage,"26,636.70",0.77,1.3,9.9,4.34,15.53,15.72,6.84,,,,,,,,,
263,NIACL,Insurance,"26,435.57",9.26,0.74,3.63,0,2.12,23.68,0.93,,,,,,,,,
264,ENDURANCE,Auto Parts,"26,405.93",7.44,1.12,12.33,0.15,13.11,38.8,5.31,,,,,,,,,
265,DEEPAKNTR,Commodity Chemicals,"26,361.36",-8.3,1.36,31.91,0.06,7.19,32.51,5.47,,,,,,,,,
266,AEGISLOG,Oil & Gas - Storage & Transportation,"26,319.74",51.52,1.16,24.55,0.6,3.54,46.24,5.9,,,,,,,,,
267,CDSL,Stock Exchanges & Ratings,"26,243.09",12.25,0.82,54.21,0,6.23,62.61,17.41,,,,,,,,,
268,AIIL,Diversified Financials,"25,967.62",-,-,185.22,0.11,31.76,6.06,2.51,,,,,,,,,
269,APOLLOTYRE,Tires & Rubber,"25,953.40",16.93,1.45,20.93,0.35,5.31,15.07,1.87,,,,,,,,,
270,APARINDS,Electrical Components & Equipments,"25,842.08",81.5,0.63,75.09,0.12,43.55,31.32,6.67,,,,,,,,,
271,OLAELEC,Two Wheelers,"25,430.51",-,-,-,1.34,-1.28,-16.05,12.59,,,,,,,,,
272,FSL,Outsourced services,"25,376.48",29.34,1.51,50.17,0.41,2.33,49.3,6.86,,,,,,,,,
273,GLAND,Pharmaceuticals,"25,151.00",-22.48,0.7,-,0.04,12.42,32.56,2.88,,,,,,,,,
274,JBCHEPHARM,Pharmaceuticals,"25,003.60",21.87,0.25,43.19,0.13,10.46,45.24,8.55,,,,,,,,,
275,SUMICHEM,Commodity Chemicals,"24,732.67",7.14,0.78,14.69,0.01,1.74,66.93,10.12,,,,,,,,,
276,BRIGADE,Real Estate,"24,585.31",14.42,1.36,33.1,1.54,9.98,54.44,6.91,,,,,,,,,
277,EMAMILTD,FMCG - Personal Products,"24,297.77",2.47,1.05,15.63,0.04,6.39,33.58,9.89,,,,,,,,,
278,PGEL,Electronic Equipments,"23,399.10",83.44,1.75,161.92,0.42,1.47,173.71,22.54,,,,,,,,,
279,CPSEETF,Equity,"23,025.67",8.93,0.78,31.71,-,-,-,-,,,,,,,,,
280,ABREL,Textiles,"22,795.64",24,1.2,27.95,0.61,-3.64,451.13,5.57,,,,,,,,,
281,SUNTV,TV Channels & Broadcasters,"22,697.30",2.26,1.07,3.25,0,9.22,11.79,2.15,,,,,,,,,
282,STARHEALTH,Insurance,"22,613.90",-19.21,-,-,0.07,3.66,26.76,3.54,,,,,,,,,
283,POONAWALLA,Consumer Finance,"22,608.98",1.44,2.34,42.19,1.86,0.24,13.44,2.77,,,,,,,,,
284,HSCL,Commodity Chemicals,"22,558.76",66.5,1.65,53.23,0.2,2.88,54.92,7.41,,,,,,,,,
285,INOXWIND,Heavy Electrical Equipments,"22,539.99",58.33,1.87,79.46,1.48,0.89,-557.37,10.28,,,,,,,,,
286,POLYMED,Health Care Equipment & Supplies,"22,511.53",36.08,0.46,47.3,0.12,8.48,87.17,15.31,,,,,,,,,
287,BANDHANBNK,Private Banks,"22,453.72",-31.67,1.73,-19.64,0,2.65,10.07,1.04,,,,,,,,,
288,CHAMBLFERT,Fertilizers & Agro Chemicals,"22,035.88",6.94,1.41,29.37,0.24,13.34,17.27,3,,,,,,,,,
289,NBCC,Construction & Engineering,"21,891.60",31.39,1.64,33.53,0,0.51,54.52,9.08,,,,,,,,,
290,MSUMI,Cables,"21,707.64",-2.99,-,-,0.15,0.32,34.01,12.95,,,,,,,,,
291,AFFLE,Advertising,"21,702.36",0.56,1.68,28.56,0.07,7.15,73.01,8.69,,,,,,,,,
292,BAYERCROP,Fertilizers & Agro Chemicals,"21,687.26",-1.65,0.7,2.53,0.02,7.61,29.29,7.61,,,,,,,,,
293,LALPATHLAB,Hospitals & Diagnostic Centres,"21,667.86",-2.48,0.78,9.94,0.13,11.6,60.57,11.49,,,,,,,,,
294,TATACHEM,Diversified Chemicals,"21,553.65",-4.42,1.4,2.07,0.24,-2.08,80.42,0.93,,,,,,,,,
295,HINDCOPPER,Mining - Copper,"21,518.22",17.17,2.09,43.51,0.1,0.65,72.87,9.42,,,,,,,,,
296,CROMPTON,Home Electronics & Appliances,"21,433.62",-10.16,0.68,2.73,0.2,1.71,48.72,6.21,,,,,,,,,
297,KIMS,Hospitals & Diagnostic Centres,"21,425.44",26.71,0.51,-,0.65,2.22,69.08,10.24,,,,,,,,,
298,HATSUN,FMCG - Foods,"21,421.70",-7.9,0.84,14.13,1.72,1.84,80.15,13.62,,,,,,,,,
299,WOCKPHARMA,Pharmaceuticals,"21,392.04",46.09,2.06,31.91,0.64,0.91,-46.2,5.84,,,,,,,,,
300,SAGILITY,Specialized Finance,"21,388.99",-,-,-,0.39,0.46,93.7,3.32,,,,,,,,,
301,CASTROLIND,Commodity Chemicals,"21,307.67",20.01,1.2,6.89,0.04,2.74,22.98,10.04,,,,,,,,,
302,DEVYANI,Restaurants & Cafes,"21,294.22",-2.88,1.12,-,2.15,0,450.48,15.79,,,,,,,,,
303,ANGELONE,Investment Banking & Brokerage,"21,273.63",11.95,1.03,17.83,0.84,31.25,18.9,7,,,,,,,,,
304,MANYAVAR,Textiles,"21,195.23",-1.99,-,-,0.28,2.75,51.18,13.23,,,,,,,,,
305,PEL,Diversified Financials,"20,993.78",-16.71,1.39,-10.2,2.02,1.71,-12.47,0.79,,,,,,,,,
306,PNBHOUSING,Home Financing,"20,914.11",26.44,1.4,18.44,3.67,18.6,13.87,1.4,,,,,,,,,
307,ASTERDM,Hospitals & Diagnostic Centres,"20,669.74",38.19,1.27,19.41,0.28,1.14,159.88,4.11,,,,,,,,,
308,FIVESTAR,Consumer Finance,"20,524.70",20.52,-,-,1.22,9.36,24.55,3.95,,,,,,,,,
309,ZFCVINDIA,Auto Parts,"20,499.31",15.81,0.27,9.69,0,66.15,50.44,7.35,,,,,,,,,
310,WELCORP,Iron & Steel,"20,414.53",52.54,1.39,30.72,0.34,25.73,18.38,3.55,,,,,,,,,
311,JYOTICNC,Industrial Machinery,"20,400.99",-,-,-,0.22,3.53,135.23,14.95,,,,,,,,,
312,SUNDRMFAST,Auto Parts,"20,376.15",0.37,1.22,16.54,0.19,6.21,39.06,5.92,,,,,,,,,
313,DELHIVERY,Logistics,"20,348.23",-28.09,-,-,0.13,0.34,-81.66,2.23,,,,,,,,,
314,AMBER,Home Electronics & Appliances,"20,298.16",24.39,0.19,29.63,0.73,10.61,152.74,9.59,,,,,,,,,
315,MRPL,Oil & Gas - Refining & Marketing,"20,265.30",42.9,1.2,22.98,0.96,1.76,5.63,1.53,,,,,,,,,
316,SHYAMMETL,Iron & Steel,"20,259.28",24.5,1.28,-,0.06,7.1,19.58,1.96,,,,,,,,,
317,NXST,Real Estate,"20,173.74",-,-,-,0.29,0.78,33.7,1.35,,,,,,,,,
318,NUVAMA,Diversified Financials,"20,171.76",-,-,-,2.33,70.41,32.26,6.96,,,,,,,,,
319,MINDSPACE,Real Estate,"20,155.50",5.66,-,-,0.47,2.41,38.39,1.35,,,,,,,,,
320,RAMCOCEM,Cement,"20,140.38",-4.16,0.84,1.17,0.68,7.62,55.95,2.78,,,,,,,,,
321,KEC,Construction & Engineering,"20,123.39",16.86,1.03,17.37,0.97,4.87,58.03,4.91,,,,,,,,,
322,EIHOTEL,"Hotels, Resorts & Cruise Lines","20,033.54",24.46,1.32,17.24,0.05,4.23,31.35,4.9,,,,,,,,,
323,NAVINFLUOR,Specialty Chemicals,"20,004.16",-2.62,0.85,25.84,0.57,16.86,73.95,8.4,,,,,,,,,
324,TVSHLTD,Auto Parts,"19,761.40",33.68,0.84,38.06,3.75,190.81,24.69,2.83,,,,,,,,,
325,REDINGTON,Technology Hardware,"19,662.41",12.95,0.99,32.97,0.38,5.12,16.13,2.5,,,,,,,,,
326,KANSAINER,Paints,"19,533.62",-13.08,0.93,-6.41,0.05,8.42,16.48,3.49,,,,,,,,,
327,FIRSTCRY,Retail - Apparel,"19,403.77",-,-,-,0.38,-0.16,-70.75,5.12,,,,,,,,,
328,TIMKEN,Industrial Machinery,"19,336.10",3.75,0.91,19.84,0.01,9.88,49.31,8,,,,,,,,,
329,ABSLAMC,Asset Management,"19,120.72",6.2,1.02,-,0.02,7.78,24.5,6.03,,,,,,,,,
330,BASF,Diversified Chemicals,"19,068.62",17.73,0.57,39.31,0.05,23.9,33.85,5.92,,,,,,,,,
331,SKFINDIA,Industrial Machinery,"18,872.20",-1.78,0.69,14.11,0,22.1,34.2,7.03,,,,,,,,,
332,EMCURE,Pharmaceuticals,"18,862.68",-,-,-,0.75,8.12,37.86,6.04,,,,,,,,,
333,PFIZER,Pharmaceuticals,"18,734.15",-4.52,0.5,-0.45,0.01,27.89,33.98,5.21,,,,,,,,,
334,TRITURBINE,Heavy Electrical Equipments,"18,697.52",38.88,1.39,42.52,0,2.92,69.47,19.45,,,,,,,,,
335,ARE&M,Batteries,"18,580.73",12.4,1.15,5.66,0.02,16.3,19.89,2.73,,,,,,,,,
336,CESC,Power Generation,"18,101.99",12.35,1.48,14.37,1.21,1.99,13.15,1.51,,,,,,,,,
337,IGIL,Education Services,"18,085.88",-,-,-,0.06,"2,178.33",55.69,35.53,,,,,,,,,
338,ZENSARTECH,IT Services & Consulting,"17,968.39",23.03,1.36,39.73,0.05,7.04,27.02,5.04,,,,,,,,,
339,ANANTRAJ,Real Estate,"17,660.37",63.63,1.2,74.42,0.17,3.23,67.69,4.79,,,,,,,,,
340,RATNAMANI,Building Products - Pipes,"17,527.56",16.91,0.93,23.32,0.05,19,28.14,5.45,,,,,,,,,
341,ERIS,Pharmaceuticals,"17,412.98",21.63,0.71,24.18,0.86,6.15,44.42,5.4,,,,,,,,,
342,CONCORDBIO,Pharmaceuticals,"17,263.77",-,-,-,0.01,7.26,56.03,11.31,,,,,,,,,
343,SARDAEN,Iron & Steel,"17,254.35",58.41,1.19,89.02,0.34,5.6,32.99,4.32,,,,,,,,,
344,ASTRAZEN,Pharmaceuticals,"17,175.75",29.33,0.45,19.55,0.01,12.34,106.34,24.13,,,,,,,,,
345,KARURVYSYA,Private Banks,"17,175.73",44.67,1.93,34.85,0,6.16,10.7,1.71,,,,,,,,,
346,CENTURYPLY,Wood Products,"17,139.54",-1.86,1.19,37.97,0.35,2.63,52.51,7.77,,,,,,,,,
347,CARBORUNIV,Industrial Machinery,"17,127.14",-1.58,1.14,20.91,0.05,1.83,37.13,5.25,,,,,,,,,
348,MANAPPURAM,Consumer Finance,"17,040.42",12.31,1.6,2.72,2.96,3.29,7.79,1.47,,,,,,,,,
349,JSWHL,Asset Management,"16,953.32",50.39,1.36,40.16,0,12.51,108.98,0.67,,,,,,,,,
350,CAMS,Diversified Financials,"16,933.76",10.35,0.7,-,0.11,25.45,47.88,18.49,,,,,,,,,
351,BIKAJI,FMCG - Foods,"16,908.31",30.68,-,-,0.14,1.14,63.63,13.9,,,,,,,,,
352,GRINDWELL,Industrial Machinery,"16,709.31",-7.9,1,19.68,0.04,7.84,43.55,8.08,,,,,,,,,
353,BATAINDIA,Footwear,"16,684.16",-20.36,1.01,-6.37,0.89,4.57,63.56,10.93,,,,,,,,,
354,AFCONS,Construction & Engineering,"16,649.61",-,-,-,0.7,4.05,37.02,4.63,,,,,,,,,
355,ANANDRATHI,Asset Management,"16,630.49",67.75,-,-,0.08,18.58,73.92,25.14,,,,,,,,,
356,VINATIORGA,Specialty Chemicals,"16,381.76",-11.91,0.6,9.23,0,9.04,50.72,6.66,,,,,,,,,
357,AADHARHFC,Consumer Finance,"16,373.50",-,-,-,3.14,5.56,21.84,3.68,,,,,,,,,
358,ASAHIINDIA,Auto Parts,"16,367.25",6.66,0.97,20.79,0.84,4.34,49.9,7.02,,,,,,,,,
359,JINDALSAW,Building Products - Pipes,"16,329.84",58.9,1.16,41.75,0.61,7.96,9.74,1.74,,,,,,,,,
360,ATUL,Diversified Chemicals,"16,177.80",-22.39,0.96,1.12,0.05,36.93,50.08,3.13,,,,,,,,,
361,GSPL,Gas Distribution,"16,161.83",0.56,0.94,3.79,0.01,4.15,9.74,1.12,,,,,,,,,
362,CIEINDIA,Auto Parts,"15,965.47",22.63,1.3,22.23,0.14,4.88,19.29,2.67,,,,,,,,,
363,TBOTEK,Tour & Travel Services,"15,863.14",-,-,-,0.39,4.7,78.48,29.12,,,,,,,,,
364,APLLTD,Pharmaceuticals,"15,791.88",2.28,0.76,3.87,0.11,7.01,25.64,3.28,,,,,,,,,
365,KPIL,Power Infrastructure,"15,704.24",22.62,1.3,19.84,0.78,8.67,30.82,3.07,,,,,,,,,
366,CHALET,"Hotels, Resorts & Cruise Lines","15,689.47",29.52,0.93,16.12,1.37,4.42,56.4,7.65,,,,,,,,,
367,DCMSHRIRAM,Diversified Chemicals,"15,683.17",1.4,0.96,23.85,0.33,16.81,35.08,2.4,,,,,,,,,
368,KFINTECH,Business Support Services,"15,667.03",45.21,-,-,0.04,5.25,63.67,13.73,,,,,,,,,
369,BLS,Outsourced services,"15,630.67",67.01,1.6,85.81,0.02,2.93,49.94,10.84,,,,,,,,,
370,EMBDL,Real Estate,"15,555.93",4.8,2.18,8.12,0.11,0.35,-14.98,5.63,,,,,,,,,
371,KIOCL,Iron & Steel,"15,534.12",11.8,1.71,19.14,0.09,-0.79,-186.48,8.1,,,,,,,,,
372,PTCIL,Iron & Steel,"15,509.09",-,-,136.19,0.28,9.51,367.34,24.02,,,,,,,,,
373,UTISENSETF,Equity,"15,503.00",4.26,0.69,13.42,-,-,-,-,,,,,,,,,
374,DOMS,Stationery,"15,494.97",-,-,-,0.2,8.94,101.18,18.4,,,,,,,,,
375,CAPLIPOINT,Pharmaceuticals,"15,429.23",32.23,0.66,42.1,0,18.28,33.76,6.57,,,,,,,,,
376,LMW,Industrial Machinery,"15,411.08",5.42,0.89,34.72,0,18.06,41.24,5.7,,,,,,,,,
377,SCHNEIDER,Heavy Electrical Equipments,"15,330.16",56.42,1.08,44.94,0.8,4.62,89.11,32.81,,,,,,,,,
378,JUBLPHARMA,Pharmaceuticals,"15,316.17",25.18,1.91,12.09,0.68,6.37,198.65,2.83,,,,,,,,,
379,SIGNATURE,Real Estate,"15,295.99",-,-,-,3.07,2.07,946.53,24.3,,,,,,,,,
380,RPOWER,Power Generation,"15,143.98",38.6,2.42,83.74,1.62,0.1,-7.32,1.3,,,,,,,,,
381,GRSE,Shipbuilding,"15,111.70",61.19,0.76,48.63,0.04,8.57,42.3,9.03,,,,,,,,,
382,BLUEDART,Logistics,"15,097.14",-3.67,0.7,16.18,0.78,34.14,50.15,11.04,,,,,,,,,
383,APTUS,Home Financing,"15,079.39",-9.09,1,-,1.38,3.82,24.64,4,,,,,,,,,
384,ELGIEQUIP,Industrial Machinery,"15,077.33",13.63,1.2,33.91,0.4,2.55,48.34,9.36,,,,,,,,,
385,CYIENT,Software Services,"15,028.98",14.12,1.5,25.52,0.17,11.11,22.01,3.3,,,,,,,,,
386,IEX,Power Trading & Consultancy,"15,021.03",-11.88,1.16,22.3,0.01,1.21,42.82,15.45,,,,,,,,,
387,VGUARD,Electrical Components & Equipments,"15,006.87",15.26,0.62,11.18,0.22,1.38,58.26,8.27,,,,,,,,,
388,PCBL,Commodity Chemicals,"14,960.73",46.45,1.5,43.65,1.53,2.47,30.47,4.6,,,,,,,,,
389,AARTIIND,Specialty Chemicals,"14,959.38",-30.05,1.36,-4.53,0.61,1.27,35.92,2.83,,,,,,,,,
390,IRCON,Construction & Engineering,"14,925.04",46.07,0.95,22.64,0.44,0.92,16.06,2.53,,,,,,,,,
391,AKZOINDIA,Specialty Chemicals,"14,832.71",19.08,0.23,6.16,0.05,23.85,34.77,11.15,,,,,,,,,
392,SAILIFE,Biotechnology,"14,684.50",-,-,-,0.95,2.89,177.35,15.06,,,,,,,,,
393,VENTIVE,"Hotels, Resorts & Cruise Lines","14,666.41",-,-,-,1.41,1.49,88.18,43.85,,,,,,,,,
394,ECLERX,Outsourced services,"14,664.82",20.48,1.18,49.65,0.12,29.16,28.67,6.52,,,,,,,,,
395,ONESOURCE,Biotechnology,"14,582.58",-,-,-,1.43,-6.31,-37.35,36.66,,,,,,,,,
396,ACE,Heavy Machinery,"14,497.83",54.22,1.81,74.27,0,9.38,44.18,11.77,,,,,,,,,
397,CGCL,Consumer Finance,"14,319.89",8.99,0.4,28.28,2.71,1.55,51.25,3.73,,,,,,,,,
398,JBMA,Auto Parts,"14,307.90",32.71,0.85,67.31,1.78,2.23,80,12,,,,,,,,,
399,NATCOPHARM,Pharmaceuticals,"14,292.07",-0.57,0.74,3.79,0.06,7.43,10.29,2.44,,,,,,,,,
400,NIVABUPA,Insurance,"14,205.13",-,-,-,0.12,0.07,173.51,6.93,,,,,,,,,
401,NEULANDLAB,Pharmaceuticals,"14,107.10",85.71,1.38,89.75,0.07,79.18,47.01,11,,,,,,,,,
402,GODREJAGRO,Agro Products,"14,082.19",9.25,0.77,6.62,0.48,5.8,39.15,4.82,,,,,,,,,
403,KAJARIACER,Building Products - Ceramics,"14,037.46",-13.3,1.1,9.81,0.09,4.88,33.26,5.25,,,,,,,,,
404,TRIDENT,Textiles,"14,036.06",-27.4,0.83,34.82,0.49,0.15,40.16,3.25,,,,,,,,,
405,FINCABLES,Cables,"13,993.19",18.03,1.27,20.43,0,9.63,21.47,2.83,,,,,,,,,
406,TEJASNET,Telecom Equipments,"13,955.42",19.91,1.55,64.01,0.6,9.44,221.58,4.43,,,,,,,,,
407,KIRLOSBROS,Industrial Machinery,"13,900.93",60.72,1.34,58.01,0.11,14.76,39.93,8.06,,,,,,,,,
408,CLEAN,Specialty Chemicals,"13,847.56",-16.55,0.98,-,0,6.18,56.75,11.51,,,,,,,,,
409,CREDITACC,Consumer Finance,"13,827.54",4.14,1.72,-2.66,3.32,-6.24,9.56,2.1,,,,,,,,,
410,NEWGEN,Software Services,"13,784.75",48.36,1.27,55.9,0.04,6.36,54.79,11.27,,,,,,,,,
411,IIFL,Investment Banking & Brokerage,"13,563.30",-0.32,1.47,11.79,3.91,0.96,7.69,1.12,,,,,,,,,
412,DEEPAKFERT,Fertilizers & Agro Chemicals,"13,502.40",19.52,1.01,62.14,0.76,19.86,30.51,2.48,,,,,,,,,
413,SWANENERGY,Textiles,"13,486.48",34.67,0.49,28.3,0.43,18.72,44.78,1.68,,,,,,,,,
414,RAINBOW,Hospitals & Diagnostic Centres,"13,434.78",36.03,-,-,0.61,6.76,61.91,10.62,,,,,,,,,
415,JWL,Rail,"13,392.91",75.41,0.97,88.52,0.21,2.29,40.39,8.21,,,,,,,,,
416,AAVAS,Home Financing,"13,382.28",-20.89,1.08,-2.97,3.29,18,27.27,3.55,,,,,,,,,
417,INDGN,Business Support Services,"13,294.89",-,-,-,0.34,4.59,39.49,9.3,,,,,,,,,
418,HBLENGINE,Batteries,"13,258.23",66.79,1.36,95.5,0.06,2.31,47.2,10.87,,,,,,,,,
419,CELLO,FMCG - Household Products,"13,232.12",-,-,-,0.27,3.99,39.97,9.66,,,,,,,,,
420,BSOFT,IT Services & Consulting,"13,187.55",-2.04,1.31,36.97,0.03,4.2,21.14,4.33,,,,,,,,,
421,MGL,Gas Distribution,"13,181.40",14.85,1.06,3.43,0.03,22.39,10.33,2.57,,,,,,,,,
422,RRKABEL,Cables,"13,075.80",-,-,-,0.2,6.07,43.86,7.15,,,,,,,,,
423,LTFOODS,Packaged Foods & Meats,"13,065.39",57.63,0.97,68.99,0.27,4.13,22.02,3.81,,,,,,,,,
424,AGARWALEYE,Hospitals & Diagnostic Centres,"13,033.20",-,-,-,0.7,0.73,156.93,9.45,,,,,,,,,
425,BLUEJET,Pharmaceuticals,"13,002.10",-,-,-,0,5.71,79.4,15.38,,,,,,,,,
426,GESHIP,Oil & Gas - Storage & Transportation,"12,921.14",31.98,1.09,27.1,0.25,41.58,4.94,1.04,,,,,,,,,
427,CUBEINVIT,Roads,"12,906.89",-,-,-,0.83,0.39,-18.28,1,,,,,,,,,
428,HFCL,Telecom Equipments,"12,893.22",3.31,1.82,39.38,0.25,0.51,39.09,3.22,,,,,,,,,
429,BBTC,Tea & Coffee,"12,816.75",17.64,1.27,10.93,0.32,48.58,18.73,1.93,,,,,,,,,
430,RKFORGE,Rail,"12,815.16",46.05,1.5,59.58,0.45,5.51,37.53,4.77,,,,,,,,,
431,TTML,Telecom Services,"12,779.36",-17.76,0.99,82.26,-,-1.61,-10.4,-0.66,,,,,,,,,
432,TARIL,Heavy Electrical Equipments,"12,766.05",116.95,1.32,151.52,0.45,1.84,286.88,22.68,,,,,,,,,
433,SOBHA,Real Estate,"12,739.49",7.55,1.86,29.34,0.77,2.15,259.41,5.07,,,,,,,,,
434,GRAVITA,Metals - Lead,"12,737.47",54.61,1.39,91.91,0.64,11.35,53.25,14.98,,,,,,,,,
435,JYOTHYLAB,FMCG - Household Products,"12,613.82",30.42,0.97,20.64,0.03,2.38,34.14,6.97,,,,,,,,,
436,ALIVUS,Pharmaceuticals,"12,453.63",27.63,0.96,-,0.01,11.18,26.45,5.34,,,,,,,,,
437,WHIRLPOOL,Home Electronics & Appliances,"12,425.19",-17.24,0.77,-15.52,0.06,3.46,57.25,3.23,,,,,,,,,
438,JAIBALAJI,Iron & Steel,"12,420.30",98.53,0.88,89.92,0.31,0.26,14.12,8.26,,,,,,,,,
439,MINDACORP,Auto Parts,"12,394.60",28.57,1.36,35.48,0.27,2.75,54.55,6.26,,,,,,,,,
440,EIDPARRY,Sugar,"12,371.74",12.34,0.84,27.56,0.16,10.97,13.75,1.1,,,,,,,,,
441,GRANULES,Pharmaceuticals,"12,332.02",14.48,0.6,22.5,0.41,4.85,30.43,3.82,,,,,,,,,
442,UTIAMC,Asset Management,"12,178.62",4.77,1.2,-,0,11.81,15.91,2.45,,,,,,,,,
443,IFCI,Specialized Finance,"12,150.58",47.45,1.17,50.86,0.7,-0.12,117.23,1.58,,,,,,,,,
444,VTL,Textiles,"12,148.23",-10.5,1.08,14.33,0.19,7.4,19.23,1.32,,,,,,,,,
445,INDIAMART,Online Services,"12,131.25",-12.63,0.83,9.17,0.02,20.18,36.33,6.99,,,,,,,,,
446,WESTLIFE,Restaurants & Cafes,"11,846.66",11.24,0.88,9.82,2.32,0.45,171.12,20.14,,,,,,,,,
447,ACMESOLAR,Renewable Energy,"11,824.02",-,-,-,3.29,2.09,16.93,4.56,,,,,,,,,
