Rank,Stocks (5218),Sub-Sector,?Market Cap,Alpha,Beta,5Y CAGR,Debt to Equity,EPS (Q),PE Ratio,PB Ratio,,,,,,,,,
50,TECHM,IT Services & Consulting,"1,61,472.60",0.72,0.92,14.74,0.09,11.1,68.48,5.95,,,,,,,,,
51,LTIM,IT Services & Consulting,"1,56,955.91",-11.17,1.15,21.44,0.1,36.65,34.25,7.84,,,,,,,,,
52,DIVISLAB,Labs & Life Sciences Services,"1,52,831.59",10.19,0.59,21.56,0,22.2,95.52,11.26,,,,,,,,,
53,SBILIFE,Insurance,"1,49,856.57",5.82,1,9.99,0,5.5,79.13,10.05,,,,,,,,,
54,JIOFIN,Consumer Finance,"1,48,453.86",-,-,-,0,0.46,92.52,1.07,,,,,,,,,
55,HINDALCO,Metals - Aluminium,"1,46,161.44",-0.61,1.78,28.03,0.53,16.82,14.39,1.38,,,,,,,,,
56,HYUNDAI,Four Wheelers,"1,46,086.76",-,-,-,0.08,14.29,24.11,13.7,,,,,,,,,
57,PIDILITIND,Diversified Chemicals,"1,42,202.60",-2.23,0.69,12.16,0.04,10.86,82.23,16.5,,,,,,,,,
58,EICHERMOT,Trucks & Buses,"1,36,045.75",14.01,0.76,21.36,0.02,42.7,34,7.54,,,,,,,,,
59,BAJAJHLDNG,Asset Management,"1,35,865.45",23.92,1.31,27.1,0,157.1,18.7,2.16,,,,,,,,,
60,ADANIGREEN,Renewable Energy,"1,34,539.80",-15.4,1.32,34.24,3.72,2.92,122.31,7.71,,,,,,,,,
61,HDFCLIFE,Insurance,"1,34,059.33",1.61,0.83,1.66,0.06,1.96,85.17,9.14,,,,,,,,,
62,PFC,Specialized Finance,"1,28,604.97",42.14,1.11,29.79,6.42,17.66,6.51,0.96,,,,,,,,,
63,LODHA,Real Estate,"1,21,232.55",17.22,0.77,-,0.44,9.48,78.26,6.91,,,,,,,,,
64,CIPLA,Pharmaceuticals,"1,19,183.77",12.32,0.41,27.63,0.02,19.45,28.92,4.45,,,,,,,,,
65,AMBUJACEM,Cement,"1,18,710.24",10.46,0.76,18.6,0.01,8.59,33.19,2.33,,,,,,,,,
66,CHOLAFIN,Consumer Finance,"1,16,391.07",14.96,1.71,33.05,6.86,12.95,34.03,5.94,,,,,,,,,
67,BRITANNIA,FMCG - Foods,"1,16,385.15",7.48,0.63,9.57,0.52,24.15,54.39,29.35,,,,,,,,,
68,TATAPOWER,Power Transmission & Distribution,"1,14,137.53",6.18,1.24,47.25,1.4,3.22,30.88,2.98,,,,,,,,,
69,ABB,Heavy Electrical Equipments,"1,12,129.20",26.55,0.97,33.87,0.01,24.93,59.91,18.86,,,,,,,,,
70,TVSMOTOR,Two Wheelers,"1,10,373.77",34.06,0.64,39.1,3.46,11.91,65.45,14.69,,,,,,,,,
71,SHRIRAMFIN,Consumer Finance,"1,10,021.26",22.96,1.53,17.49,3.94,17.27,14.94,2.21,,,,,,,,,
72,BPCL,Oil & Gas - Refining & Marketing,"1,09,026.64",7.61,1.14,1.27,0.72,8.91,4.06,1.44,,,,,,,,,
73,BANKBARODA,Public Banks,"1,08,738.23",11.51,1.2,20.65,0,10.08,5.79,0.9,,,,,,,,,
